


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 1, 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 2, 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 3, 


Usuario: Diego, Lo siento, no puede ingresar al sistema, agoto intentos. 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 1, 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 2, 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 3, 


Usuario: Diego, Lo siento, no puede ingresar al sistema, agoto intentos. 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 1, 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 2, 


Usuario: Diego, El usuario y/o contrasena son incorrectos, intentos: 1, 


Usuario: DiegoFecha AAMMDD / Hora, minutos, segundos: 2022-06-23.09:49:00, entro al menu principal, 


Usuario: DiegoFecha AAMMDD / Hora, minutos, segundos: 2022-06-23.10:57:03, entro al menu principal, 


Usuario: DiegoFecha AAMMDD / Hora, minutos, segundos: 2022-06-23.11:00:45, entro al menu principal, 


Usuario: DiegoFecha AAMMDD / Hora, minutos, segundos: 2022-06-23.11:02:34, entro al menu principal, 
